

2024-08-23 21:03:22.827718
21:03:222024-08-23 21:03:24,255 - __main__ - DEBUG - [envy.py:57] - choosing role
2024-08-23 21:03:24,263 - __main__ - DEBUG - [client.py:39] - health checking server
2024-08-23 21:03:24,268 - __main__ - DEBUG - [envy.py:65] - server health check status: True
2024-08-23 21:03:24,268 - __main__ - DEBUG - [envy.py:68] - I am a Client
2024-08-23 21:03:24,268 - __main__ - INFO - [envy.py:127] - Started Envy
2024-08-23 21:03:24,268 - __main__ - DEBUG - [envy.py:148] - envy.connect: Purpose is client
2024-08-23 21:03:24,268 - __main__ - DEBUG - [envy_utils.py:94] - getting server IP
2024-08-23 21:03:24,268 - __main__ - DEBUG - [envy_utils.py:106] - server file found
2024-08-23 21:03:24,270 - __main__ - DEBUG - [envy_utils.py:110] - server ip address is: 10.1.16.25
2024-08-23 21:03:24,270 - __main__ - DEBUG - [client.py:53] - attempting to connect with server at ws://10.1.16.25:37020/client
2024-08-23 21:03:24,271 - __main__ - DEBUG - [client.py:134] - networkUtils.client started
2024-08-23 21:03:24,271 - __main__ - INFO - [client.py:146] - Client: Connected
2024-08-23 21:03:24,271 - __main__ - DEBUG - [client.py:158] - connected to: 10.1.16.25
2024-08-23 21:03:24,325 - __main__ - DEBUG - [client.py:116] - sending message to server: (send_status_to_server())
2024-08-23 21:03:24,325 - __main__ - INFO - [client.py:163] - received message from: server -> (fill_buffer(self, 'server_name', 'lab5-04', ))
2024-08-23 21:03:24,776 - __main__ - DEBUG - [envy.py:256] - executing: await NV.fill_buffer(self, 'server_name', 'lab5-04', )
2024-08-23 21:04:59,375 - __main__ - DEBUG - [client.py:172] - consumer_handler: no close frame received or sent
2024-08-23 21:05:00,588 - __main__ - WARNING - [client.py:150] - connection closed with server
2024-08-23 21:05:00,588 - __main__ - DEBUG - [client.py:189] - stopping client
2024-08-23 21:05:00,588 - __main__ - DEBUG - [client.py:98] - disconnecting websocket
2024-08-23 21:05:00,588 - __main__ - DEBUG - [client.py:106] - Connection Closed Successfully
2024-08-23 21:05:00,588 - __main__ - DEBUG - [client.py:200] - cleaning up tasks
2024-08-23 21:05:00,589 - __main__ - DEBUG - [client.py:203] - cancelling task client.consumer_handler
2024-08-23 21:05:00,589 - __main__ - DEBUG - [client.py:213] - client stopped
2024-08-23 21:05:00,589 - __main__ - DEBUG - [envy.py:197] - cleaning up envy.client_dependant_tasks
2024-08-23 21:05:00,589 - __main__ - INFO - [envy.py:213] - electing new server
2024-08-23 21:05:00,589 - __main__ - DEBUG - [envy_utils.py:148] - opening clients file at Z:/school/envy/__envytest__/Connections/clients.json
2024-08-23 21:05:00,601 - __main__ - DEBUG - [envy_utils.py:153] - returning clients: {'lab5-04': {'IP': '10.1.16.25', 'Status': 'idle', 'Job': None, 'Allocation': None}, 'LAB5-05': {'IP': '10.1.16.26', 'Status': 'idle', 'Job': None, 'Allocation': None}}
2024-08-23 21:05:00,602 - __main__ - DEBUG - [envy.py:221] - removing old server from eligible clients
2024-08-23 21:05:00,602 - __main__ - DEBUG - [envy.py:227] - New server: LAB5-05
2024-08-23 21:05:00,602 - __main__ - DEBUG - [envy.py:148] - envy.connect: Purpose is server
2024-08-23 21:05:00,603 - __main__ - DEBUG - [envy.py:105] - writing server file
2024-08-23 21:05:00,667 - __main__ - DEBUG - [client.py:116] - sending message to server: (send_status_to_server())
2024-08-23 21:05:01,603 - __main__ - DEBUG - [envy_utils.py:94] - getting server IP
2024-08-23 21:05:01,604 - __main__ - DEBUG - [envy_utils.py:106] - server file found
2024-08-23 21:05:01,616 - __main__ - DEBUG - [envy_utils.py:110] - server ip address is: 10.1.16.25
2024-08-23 21:05:01,616 - __main__ - DEBUG - [client.py:53] - attempting to connect with server at ws://10.1.16.25:37020/client
2024-08-23 21:05:11,621 - __main__ - INFO - [envy.py:155] - Failed to connect to server
2024-08-23 21:05:11,621 - __main__ - INFO - [envy.py:159] - Failed to connect because of timeout
2024-08-23 21:05:11,622 - __main__ - DEBUG - [envy.py:160] - Info: , exception type: <class 'TimeoutError'>
2024-08-23 21:05:11,622 - __main__ - INFO - [envy.py:213] - electing new server
2024-08-23 21:05:11,623 - __main__ - DEBUG - [envy_utils.py:148] - opening clients file at Z:/school/envy/__envytest__/Connections/clients.json
2024-08-23 21:05:11,624 - __main__ - DEBUG - [envy_utils.py:153] - returning clients: {'lab5-04': {'IP': '10.1.16.25', 'Status': 'idle', 'Job': None, 'Allocation': None}, 'LAB5-05': {'IP': '10.1.16.26', 'Status': 'idle', 'Job': None, 'Allocation': None}}
2024-08-23 21:05:11,624 - __main__ - DEBUG - [envy.py:221] - removing old server from eligible clients
2024-08-23 21:05:11,625 - __main__ - DEBUG - [envy.py:227] - New server: LAB5-05
2024-08-23 21:05:11,625 - __main__ - DEBUG - [envy.py:148] - envy.connect: Purpose is server
2024-08-23 21:05:11,625 - __main__ - DEBUG - [envy.py:105] - writing server file
2024-08-23 21:05:11,626 - __main__ - DEBUG - [envy_utils.py:94] - getting server IP
2024-08-23 21:05:11,626 - __main__ - DEBUG - [envy_utils.py:106] - server file found
2024-08-23 21:05:11,632 - __main__ - DEBUG - [envy_utils.py:110] - server ip address is: 10.1.16.26
2024-08-23 21:05:11,632 - __main__ - DEBUG - [client.py:53] - attempting to connect with server at ws://10.1.16.26:37020/client
2024-08-23 21:05:11,636 - __main__ - DEBUG - [client.py:134] - networkUtils.client started
2024-08-23 21:05:11,636 - __main__ - INFO - [client.py:146] - Client: Connected
2024-08-23 21:05:11,637 - __main__ - DEBUG - [client.py:158] - connected to: 10.1.16.26
2024-08-23 21:05:11,641 - __main__ - INFO - [client.py:163] - received message from: server -> (fill_buffer(self, 'server_name', 'LAB5-05', ))
2024-08-23 21:05:11,683 - __main__ - DEBUG - [client.py:116] - sending message to server: (send_status_to_server())
2024-08-23 21:05:11,714 - __main__ - DEBUG - [envy.py:256] - executing: await NV.fill_buffer(self, 'server_name', 'LAB5-05', )
2024-08-23 21:05:12,103 - __main__ - INFO - [client.py:163] - received message from: server -> (Job: NV_jobProcessor1_001 Allocation: (29, 10, '[901, 902, 903, 904, 905, 906, 907, 908, 909, 910, 911, 912, 913, 914, 915, 916, 917, 918, 919, 920, 921, 922, 923, 924, 925, 926, 927, 928, 929, 930, 931, 932, 933, 934, 935, 936, 937, 938, 939, 940, 941, 942, 943, 944, 945, 946, 947, 948, 949, 950, 951, 952, 953, 954, 955, 956, 957, 958, 959, 960, 961, 962, 963, 964, 965, 966, 967, 968, 969, 970, 971, 972, 973, 974, 975, 976, 977, 978, 979, 980, 981, 982, 983, 984, 985, 986, 987, 988, 989, 990, 991, 992, 993, 994, 995, 996, 997, 998, 999, 1000]', 'LAB5-05', 'inprogress'))
